,型号,品牌,采购数量,适用价格(人民币),库存数量,货期,来源网站,渠道链接,原始币种价格,查询时间,最低价
0,CC0402JRNPO9BN200,未显示,50000,0.0101,,现货,云汉芯城,https://www.ickey.cn/detail/1003001445184041/CC0402JRNPO9BN200.html#,0.0101 CNY,2026-06-23 10:47:26,⭐
1,CC0402JRNPO9BN200,未显示,50000,,未显示,无价格信息,Digi-Key,https://www.digikey.cn/zh/products/detail/yageo/CQ0402JRNPO9BN200/14650852,未显示价格,2026-06-23 10:46:57,
2,CC0402JRNPO9BN200,国巨,50000,,未显示,未找到型号,Mouser,https://www.mouser.cn,无,2026-06-23 10:47:05,
3,CC0402JRNPO9BN200,亿光,50000,,未显示,无价格信息,立创商城,https://item.szlcsc.com/108216.html?fromZone=s_s__%2522CC0402JRNPO9BN200%2522&spm=sc.gbn.xh1.zy.t&lcsc_vid=RQdaXgdQQQcNV1dXFgNZVFBTRVcPBlBTRFcPBAcFFAMxVlNeRVBWVVxVR1dcXztW,未显示价格,2026-06-23 10:47:16,
4,CC0402JRNPO9BN200,未显示,50000,,未显示,无价格信息,华强电子网,https://so.hqew.com/product/CC0402JRNPO9BN200,未显示价格,2026-06-23 10:47:32,
5,RC0402FR-0710KL,未显示,400000,0.001,,现货,云汉芯城,https://www.ickey.cn/detail/1003001430013192/RC0402FR-0710KL.html#,0.0010 CNY,2026-06-23 10:45:56,⭐
6,RC0402FR-0710KL,国巨,400000,,未显示,未找到型号,Digi-Key,https://www.digikey.cn,无,2026-06-23 10:45:27,
7,RC0402FR-0710KL,国巨,400000,,未显示,未找到型号,Mouser,https://www.mouser.cn,无,2026-06-23 10:45:36,
8,RC0402FR-0710KL,亿光,400000,,未显示,无价格信息,立创商城,https://item.szlcsc.com/61542.html?fromZone=s_s__%2522RC0402FR-0710KL%2522&lcsc_vid=RQdaXgdQQQcNV1dXFgNZVFBTRVcPBlBTRFcPBAcFFAMxVlNeRVBWVVNSRFZbUTtW,未显示价格,2026-06-23 10:45:45,
9,RC0402FR-0710KL,未显示,400000,,未显示,无价格信息,华强电子网,https://so.hqew.com/product/RC0402FR-0710KL,未显示价格,2026-06-23 10:46:02,
10,RC0402FR-07110KL,未显示,50000,0.0032,,现货,云汉芯城,https://www.ickey.cn/detail/1003001444976007/RC0402FR-07110KL.html#,0.0032 CNY,2026-06-23 10:46:38,⭐
11,RC0402FR-07110KL,国巨,50000,,未显示,未找到型号,Digi-Key,https://www.digikey.cn,无,2026-06-23 10:46:09,
12,RC0402FR-07110KL,国巨,50000,,未显示,未找到型号,Mouser,https://www.mouser.cn,无,2026-06-23 10:46:18,
13,RC0402FR-07110KL,亿光,50000,,未显示,无价格信息,立创商城,https://item.szlcsc.com/149381.html?fromZone=s_s__%2522RC0402FR-07110KL%2522&spm=sc.gbn.xh1.zy.t&lcsc_vid=RQdaXgdQQQcNV1dXFgNZVFBTRVcPBlBTRFcPBAcFFAMxVlNeRVBWVVNeRVRaUDtW,未显示价格,2026-06-23 10:46:27,
14,RC0402FR-07110KL,未显示,50000,,未显示,无价格信息,华强电子网,https://so.hqew.com/product/RC0402FR-07110KL,未显示价格,2026-06-23 10:46:43,
